iter	Passed	Remaining
539	335969	286196
540	336574	285559
541	337216	284954
542	337813	284310
543	338386	283647
544	339030	283044
545	339724	282481
546	340317	281835
547	341010	281271
548	341561	280590
549	342201	279983
550	342772	279319
551	343388	278691
552	343988	278051
553	344548	277380
554	345180	276766
555	345809	276150
556	346420	275519
557	347062	274912
558	347676	274284
559	348341	273696
560	349090	273173
561	349734	272568
562	350302	271904
563	350978	271323
564	351751	270817
565	352373	270194
566	353025	269594
567	353631	268959
568	354183	268283
569	354772	267635
570	355400	267017
571	355990	266370
572	356626	265758
573	357199	265099
574	357777	264443
575	358447	263857
576	359057	263225
577	359771	262670
578	360323	261997
579	360963	261387
580	361564	260749
581	362264	260183
582	362862	259543
583	363478	258916
584	364041	258251
585	364590	257577
586	365165	256922
587	365850	256344
588	366468	255718
589	366999	255033
590	367696	254463
591	368271	253808
592	368784	253112
593	369510	252561
594	370427	252139
595	371230	251639
596	371786	250971
597	372387	250333
598	372944	249667
599	373598	249065
600	374287	248487
601	374909	247864
602	375603	247288
603	376158	246620
604	376852	246043
605	377512	245445
606	378176	244849
607	378856	244262
608	379496	243650
609	380048	242981
610	380693	242372
611	381496	241863
612	382248	241321
613	382859	240689
614	383637	240163
615	384249	239532
616	384894	238921
617	385543	238313
618	386157	237683
619	386831	237090
620	387466	236472
621	388274	235961
622	388978	235384
623	389609	234764
624	390251	234150
625	390846	233508
626	391408	232847
627	392063	232241
628	392537	231528
629	393107	230872
630	393592	230167
631	394068	229457
632	394681	228828
633	395317	228211
634	395927	227580
635	396484	226918
636	397223	226361
637	397760	225688
638	398237	224982
639	398796	224322
640	399345	223658
641	399971	223037
642	400849	222555
643	401770	222096
644	402447	221502
645	402992	220834
646	403589	220196
647	404174	219551
648	404758	218906
649	405407	218296
650	406049	217682
651	406707	217077
652	407295	216434
653	407955	215829
654	408467	215147
655	409048	214500
656	409702	213893
657	410355	213284
658	410958	212650
659	411679	212077
660	412262	211432
661	412871	210801
662	413574	210218
663	414207	209598
664	414818	208968
665	415469	208358
666	416119	207747
667	416869	207186
668	417502	206566
669	418184	205971
670	418892	205388
671	419502	204757
672	420040	204090
673	420621	203446
674	421150	202775
675	421669	202101
676	422347	201503
677	422887	200840
678	423520	200221
679	424149	199599
680	424891	199031
681	425550	198423
682	426125	197777
683	426753	197155
684	427407	196545
685	427988	195901
686	428532	195241
687	429159	194618
688	429855	194027
689	430614	193464
690	431195	192821
691	431741	192162
692	432382	191545
693	432929	190888
694	433479	190232
695	433998	189562
696	434674	188961
697	435310	188343
698	435862	187689
699	436418	187036
700	436959	186377
701	437488	185714
702	438093	185083
703	438756	184477
704	439330	183833
705	439938	183203
706	440481	182547
707	441128	181934
708	441667	181276
709	442324	180667
710	442858	180008
711	443590	179429
712	444271	178830
713	444942	178226
714	445621	177625
715	446434	177077
716	446995	176429
717	447547	175777
718	448162	175151
719	448788	174528
720	449466	173926
721	450135	173320
722	450687	172670
723	451254	172025
724	451867	171398
725	452530	170789
726	453234	170196
727	453893	169586
728	454443	168935
729	454970	168276
730	455662	167678
731	456242	167039
732	456826	166402
733	457415	165766
734	457963	165116
735	458614	164503
736	459183	163860
737	459823	163243
738	460472	162629
739	461146	162024
740	461848	161428
741	462543	160830
742	463197	160217
743	463807	159589
744	464394	158953
745	465053	158342
746	465636	157705
747	466290	157092
748	466876	156456
749	467496	155832
750	468191	155232
751	468835	154615
752	469377	153965
753	469942	153323
754	470693	152741
755	471329	152122
756	471968	151503
757	472716	150920
758	473414	150319
759	474306	149781
760	475033	149189
761	475660	148565
762	476453	147994
763	477188	147403
764	477880	146799
765	478646	146218
766	479311	145605
767	479911	144973
768	480463	144326
769	481086	143701
770	481726	143081
771	482402	142471
772	483079	141861
773	483751	141250
774	484452	140647
775	485015	140004
776	485653	139383
777	486220	138741
778	486833	138113
779	487454	137487
780	488003	136841
781	488610	136210
782	489205	135578
783	489786	134941
784	490427	134320
785	491014	133685
786	491558	133039
787	492233	132428
788	492782	131783
789	493441	131168
790	493906	130501
791	494422	129848
792	495072	129230
793	495804	128634
794	496389	127999
795	497026	127378
796	497708	126768
797	498498	126186
798	499193	125579
799	499832	124958
800	500638	124378
801	501210	123740
802	501886	123127
803	502439	122485
804	503167	121885
805	503771	121255
806	504364	120622
807	505061	120014
808	505684	119389
809	506244	118748
810	506870	118123
811	507486	117496
812	508032	116853
813	508676	116233
814	509300	115608
815	509923	114982
816	510599	114369
817	511167	113731
818	511778	113103
819	512351	112467
820	513079	111865
821	513708	111241
822	514311	110611
823	514913	109981
824	515523	109353
825	516235	108746
826	516941	108138
827	517442	107488
828	518127	106875
829	518642	106228
830	519287	105607
831	520072	105014
832	520961	104442
833	521626	103824
834	522180	103185
835	522823	102563
836	523522	101952
837	524243	101345
838	524888	100723
839	525445	100084
840	525996	99445
841	526602	98816
842	527241	98193
843	527923	97578
844	528638	96969
845	529327	96355
846	530020	95741
847	530663	95118
848	531411	94514
849	532318	93938
850	533058	93332
851	533942	92750
852	534654	92138
853	535214	91500
854	535825	90871
855	536384	90232
856	537070	89616
857	537675	88986
858	538412	88377
859	538951	87736
860	539525	87101
861	540217	86485
862	540854	85859
863	541403	85220
864	541973	84585
865	542703	83974
866	543440	83365
867	543932	82717
868	544433	82072
869	545112	81453
870	545743	80827
871	546335	80196
872	547062	79584
873	547553	78937
874	548171	78310
875	548741	77675
876	549386	77051
877	549887	76408
878	550414	75768
879	551148	75156
880	551836	74538
881	552528	73921
882	553241	73306
883	553899	72683
884	554482	72051
885	555089	71422
886	555860	70814
887	556538	70194
888	557150	69565
889	557832	68945
890	558394	68310
891	559108	67694
892	559787	67074
893	560551	66463
894	561142	65832
895	561721	65199
896	562313	64568
897	562904	63937
898	563595	63318
899	564234	62692
900	564994	62080
901	565576	61448
902	566122	60812
903	566673	60177
904	567273	59548
905	567841	58915
906	568437	58285
907	568926	57644
908	569681	57030
909	570392	56412
910	571046	55788
911	571712	55165
912	572401	54544
913	573102	53924
914	573663	53291
915	574294	52664
916	574927	52038
917	575468	51403
918	576026	50770
919	576593	50138
920	577082	49500
921	577640	48867
922	578257	48240
923	578870	47612
924	579585	46993
925	580107	46358
926	580818	45738
927	581642	45127
928	582343	44506
929	582868	43871
930	583513	43246
931	584111	42617
932	584778	41993
933	585330	41361
934	585915	40732
935	586535	40105
936	587229	39482
937	587920	38860
938	588480	38229
939	589111	37602
940	589640	36970
941	590156	36336
942	590749	35708
943	591323	35078
944	591906	34449
945	592499	33821
946	593022	33189
947	593653	32563
948	594242	31935
949	594988	31315
950	595570	30686
951	596216	30061
952	596787	29432
953	597381	28804
954	597956	28175
955	598651	27552
956	599394	26932
957	600143	26311
958	600762	25684
959	601374	25057
960	602097	24434
961	602720	23808
962	603324	23180
963	603971	22554
964	604629	21929
965	605229	21302
966	605960	20679
967	606624	20053
968	607219	19426
969	607892	18800
970	608497	18173
971	609054	17544
972	609658	16917
973	610160	16287
974	610752	15660
975	611269	15031
976	611822	14403
977	612393	13775
978	612932	13147
979	613463	12519
980	614096	11893
981	614686	11267
982	615253	10640
983	615799	10012
984	616373	9386
985	616943	8759
986	617638	8135
987	618236	7508
988	618794	6882
989	619332	6255
990	619869	5629
991	620432	5003
992	621044	4377
993	621558	3751
994	622188	3126
995	622745	2500
996	623298	1875
997	623732	1249
998	624400	625
999	624973	0
